動詞,前,後ろ
出来る,でる,きる
片付く,かた,つく
片付ける,さす,つける
差し上げる,さす,あげる
取り替える,とる,かえる
乗り換える,のる,かえる
引っ越す,ひく,こす
間違える,ま,ちがえる
間に合う,ま,あう
召し上げる,召す,あげる
申し上げる,もうす,あげる
役に立つ,やく,たつ
お目に掛かる,め,かかる
思い出す,おもう,だす
ご覧になる,覧,なる
言い返す,いう,かえす
言い出す,いう,だす
言い付ける,いう,つける
受け取る,うける,とる
受け持つ,うける,もつ
売り切れる,うる,切れる
追い掛ける,おう,かける
追い越す,おう,こす
追い付く,おう,つく
落ち着く,おつ,つく
思い付く,思う,つく
書き込む,かく,こむ
書き取る,かく,とる
着替える,きる,かえる
区切る,く,きる
組み合わせる,くむ,あわせる
組み立てる,くむ,たてる
繰り替える,繰る,かえる
腰掛ける,こし,かける
言付ける,こと,つける
仕上げる,し,あげる
締め切る,しめる,きる
立ち上げる,たつ,あげる
立ち止まる,たつ,とまる
近付ける,ちあ,つける
近寄る,ちか,よる
出会う・出合う,でる,あう
出来上げる,できる,あげる
出迎える,でる,むかえる
溶け込む,とける,こむ
飛び込む,とぶ,こむ
飛び出す,とぶ,だす
取り上げる,とる,あげる
取り入れる,とる,いれる
取り消す,とる,けす
取り出す,とる,だす
流れ出る,ながれる,でる
似合う,にる,あう
話し合う,はなす,あう
話し掛ける,はなす,かける
引き受ける,ひく,うける
引き返す,ひく,かえす
引き止める,ひく,とめる
振り向く,ふる,むく
待ち合わせる,まつ,あわせる
見上げる,みる,みげる
見舞う,みる,まう
目指す,め,さす
目立つ,め,たつ
申し込む,もうす,こむ
持ち上げる,もつ,あげる
呼び掛ける,よぶ,かける
呼び出す,よぶ,だす
